source_number,phrase,link
1,"Benny Morris and Benjamin Z. Kedar",https://cris.bgu.ac.il/en/publications/cast-thy-bread-israeli-biological-warfare-during-the-1948-war/
2,"peer-reviewed paper",https://doi.org/10.1080/00263206.2022.2122448
3,"2001 study",https://doi.org/10.1080/10736700108436862
4,"“Double Enteric Infection,”",https://doi.org/10.1017/S002217240004417X
5,"military history of Acre",https://doi.org/10.1525/jps.2010.XXXIX.4.1
6,"306th meeting of the UN Security Council",https://digitallibrary.un.org/record/636346?ln=en
7,"UN document S/925",https://digitallibrary.un.org/record/470144?ln=en
8,"CIA archive page",https://www.cia.gov/readingroom/document/cia-rdp83-00415r001100020015-0
9,"official history of the Israel Institute for Biological Research",https://iibr.gov.il/Pages/Who-We-are.aspx
10,"SNIE 30-2-63",https://www.cia.gov/readingroom/docs/DOC_0001173763.pdf
11,"FOI-R--1734--SE",https://foi.se/en/foi/reports/report-summary.html?reportNo=FOI-R--1734--SE
12,"“These Matters Are Unpleasant”",https://www.akevot.org.il/en/news-item/these-matters-are-unpleasant-a-new-report-by-akevot/
13,"progress report",https://www.un.org/unispal/document/auto-insert-198227/
14,"BWC/MSP/2024/WP.10",https://www.un.org/unispal/document/working-paper-submitted-by-the-state-of-palestine-meeting-of-the-states-parties-to-the-convention-on-the-prohibition-of-the-development-production-and-stockpiling-of-bacteriological-biological/
15,"Operation Northwoods: The Secret U.S. Military Plan You’ve Never Heard Of",https://thewhiterabbitreport.substack.com/p/operation-northwoods-the-secret-us
16,"Sidney Gottlieb : The Mind Behind MK-ULTRA",https://thewhiterabbitreport.substack.com/p/sidney-gottlieb-cia-mkultra-mind-control
17,"CIA Files: Operation Mockingbird",https://thewhiterabbitreport.substack.com/p/cia-files-operation-mockingbird
18,"Is Hantavirus a Black Swan Event? The Cruise Ship Outbreak Explained",https://thewhiterabbitreport.substack.com/p/is-hantavirus-a-black-swan-event
19,"history of the 1948 war",https://yalebooks.yale.edu/book/9780300145243/1948/
20,"FRUS collection for the 1948 Palestine crisis",https://history.state.gov/historicaldocuments/frus1948v05p2
