source_number,phrase,link
1,I totally agree I want to do this,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02393663.pdf
2,December pitch,https://www.justice.gov/epstein/files/DataSet%209/EFTA00901408.pdf
3,Wired’s history of IGE,https://www.wired.com/2008/11/ff-ige/
4,I would like to get in touch with the bit coin guys,https://www.justice.gov/epstein/files/DataSet%209/EFTA01866591.pdf
5,This is the guy: Gavin Andresen,https://www.justice.gov/epstein/files/DataSet%209/EFTA00629471.pdf
6,"No, sorry, I’m busy",https://www.justice.gov/epstein/files/DataSet%209/EFTA00432104.pdf
7,last publicly known email to Gavin,https://riski.wiki/wiki/User:Gavinandresen/Blog/2022-04-26_Eleven_years_ago_today%E2%80%A6
8,preserved pre-publication correspondence,https://github.com/lugaxker/nakamoto-archive
9,A new system that usess the internet to distribute value,https://www.justice.gov/epstein/files/DataSet%209/EFTA00694620.pdf
10,Washington Post,https://www.washingtonpost.com/technology/2026/02/03/epstein-files-coinbase-silicon-valley/
11,"500,001.00",https://www.justice.gov/epstein/files/DataSet%209/EFTA00080250.pdf
12,operating agreement,https://www.justice.gov/epstein/files/DataSet%209/EFTA00584696.pdf
13,Why Bitcoin Has Value,https://doi.org/10.1145/2594288
14,Norman’s email thread,https://www.justice.gov/epstein/files/DataSet%209/EFTA00656005.pdf
15,Noble Markets … and Tether,https://www.justice.gov/epstein/files/DataSet%209/EFTA00664424.pdf
16,Used gift funds to underwrite this which allowed us to move quickly and win this round,https://bitcoinprotocol.org/epstein-bitcoin-emails/files/EFTA00680068.pdf
17,sophisticated Russian version of bitcoin,https://www.justice.gov/epstein/files/DataSet%209/EFTA00981054.pdf
18,sharia currency,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02446989.pdf
19,"questions about blockchain architecture, legislation, sovereign guarantees, and Sharia review",https://www.justice.gov/epstein/files/DataSet%209/EFTA01054971.pdf
20,"not bit coin, you need your own",https://www.justice.gov/epstein/files/DataSet%209/EFTA01040718.pdf
21,"Digital currency: MBZ handed to Khaldoon, speaking to him",https://www.justice.gov/epstein/files/DataSet%209/EFTA00994138.pdf
22,ICO and virtual-currency guidance,https://www.adgm.com/media/announcements/abu-dhabi-global-market-sets-out-guidance-on-initial-coin-offerings-and-virtual-currencies
23,i dont understand the model. how does the exchange make money,https://cdck-file-uploads-global.s3.dualstack.us-west-2.amazonaws.com/zcash/original/3X/f/0/f0e7ab8d3064f947d11c557362bcd849ef2cd348.pdf
24,pitch summary,https://www.justice.gov/epstein/files/DataSet%209/EFTA00495372.pdf
25,Phang v. Blanche,https://law.justia.com/cases/federal/district-courts/district-of-columbia/dcdce/1%3A2026cv01417/291779/43/
26,September 22,https://www.courtlistener.com/docket/73246595/phang-v-blanche/
