source_id,series_part,chapter,baker_note_number,source_type,evidence_level,acquisition_priority,author_or_creator,title_or_description,publication_or_archive,date,document_identifier,archive_collection_box_folder,pages_cited,baker_claim_or_use,underlying_source_to_find,entities,citation_count,unique_claim_count,primary_document_needed,original_interview_needed,archive_request_may_be_needed,possible_online_document,needs_independent_corroboration,citation_incomplete,citation_ambiguous,reason_for_priority,raw_citation
BKR-0001,PART_1,2,2:BODY,PRIMARY_GOVERNMENT,A,1,Central Intelligence Agency,CIA memorandum concerning George Bush's prior knowledge of WUBRINY/LPDICTUM,,"November 29, 1975",,,,Baker cites this in support of the surrounding discussion: Baker quotes this memorandum when arguing that Bush knew of the proprietary commercial project through Thomas J. Devine before becoming CIA director.,,Central Intelligence Agency; George H. W. Bush; LPDICTUM; Thomas J. Devine; WUBRINY,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 2, note BODY: Body-text source reconstruction: CIA memorandum concerning George Bush's prior knowledge of WUBRINY/LPDICTUM"
BKR-0002,PART_1,2,2:BODY,PRIMARY_GOVERNMENT,A,1,J. Edgar Hoover / Federal Bureau of Investigation,"FBI memorandum, subject “Assassination of President John F. Kennedy”",,"November 29, 1963",,,,Baker cites this in support of the surrounding discussion: Baker quotes the memorandum's reference to “Mr. George Bush of the Central Intelligence Agency” and the anti-Castro briefing after the assassination.,,Central Intelligence Agency; Cuba; Federal Bureau of Investigation; George H. W. Bush; J. Edgar Hoover; John F. Kennedy,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 2, note BODY: Body-text source reconstruction: FBI memorandum, subject “Assassination of President John F. Kennedy”"
BKR-0003,PART_1,3,3:36,PRIMARY_CORPORATE,A,1,,"Zapata Petroleum filed its certificate of incorporation in Delaware on March 27, 1953, and registeredto do business in Texas on April 30, 1953.",,"March 27, 1953",,,,"Baker cites this source in chapter 3 in connection with Zapata Petroleum filed its certificate of incorporation in Delaware on March 27, 1953, and registeredto do business in Texas on April 30, 1953.; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Zapata Petroleum,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 3, note 36: Zapata Petroleum filed its certificate of incorporation in Delaware on March 27, 1953, and registeredto do business in Texas on April 30, 1953."
BKR-0004,PART_1,4,4:10,PRIMARY_GOVERNMENT,A,1,,"George Bush Presidential Library and Museum, College Station, Texas: “Zapata— Business Alpha File, Box 3, World Trip, 1963.”",George Bush Presidential Library,1963,,George Bush Presidential Library,,"Baker cites this source in chapter 4 in connection with George Bush Presidential Library and Museum, College Station, Texas: “Zapata— Business Alpha File, Box 3, World Trip, 1963.”; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.",,Business Alpha File; College Station; George Bush Presidential Library and Museum; World Trip,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note 10: George Bush Presidential Library and Museum, College Station, Texas: “Zapata— Business Alpha File, Box 3, World Trip, 1963.”"
BKR-0005,PART_1,4,4:12,PRIMARY_GOVERNMENT,A,1,,FBI report is available through the Mary Ferrell Foundation Web site (): Graham Kitchel report in Warren Commission document 14,Mary Ferrell Foundation; FBI,1964,FBI report is available through the Mary,Mary Ferrell Foundation; FBI,,Baker cites this source in chapter 4 in connection with FBI report is available through the Mary Ferrell Foundation Web site (): Graham Kitchel report in Warren Commission document 14; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,FBI; George Bush; Graham Kitchel; Mary Ferrell Foundation Web; Warren Commission,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note 12: The FBI report is available through the Mary Ferrell Foundation Web site (): Graham Kitchel report in Warren Commission document 14. This brief report, but not one that described George Bush in more detail and contained other additional information, was apparently received by Warren Commission staff. There is no reason to think that in 1964, staffers would have paid particular attention to this as one of many such tips."
BKR-0006,PART_1,4,4:28,PRIMARY_INTERVIEW,A,1,Kearney Reynolds,Interview with Kearney Reynolds,Nation,"March 4, 2007",FBI document is available at the Assassination,The FBI document is available at the Assassination Archives; FBI,,Baker cites this source in chapter 4 in connection with Interview with Kearney Reynolds; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Assassination Archives Research Center; FBI; George William Bush; Kearney Reynolds,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note 28: The FBI document is available at the Assassination Archives Research Center on page 14 of this longer file: www.aarclibrary.org/notices/Affidavit_of George William Bush 880921 .pdf 29. Author interview with Kearney Reynolds, March 4, 2007."
BKR-0007,PART_1,4,4:31,PRIMARY_INTERVIEW,A,1,James Parrott conducted by independent researcher Bruce Campbell Adamson,Interview with James Parrott conducted by independent researcher Bruce Campbell Adamson,Independent,"May 31, 1993",,,,Baker cites this source in chapter 4 in connection with Interview with James Parrott conducted by independent researcher Bruce Campbell Adamson; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,Bruce Campbell Adamson; James Parrott,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note 31: Telephone interview with James Parrott conducted by independent researcher Bruce Campbell Adamson, May 31, 1993."
BKR-0008,PART_1,4,4:BODY,PRIMARY_GOVERNMENT,A,1,Federal Bureau of Investigation,FBI interviews with Mrs. Parrott and Kearney Reynolds,,"November 22–23, 1963",,,,Baker cites this in support of the surrounding discussion: Baker quotes these interviews regarding Parrott's whereabouts and Reynolds's visit around the time of Bush's FBI call.,,Federal Bureau of Investigation; Harris County Republican Party; James Parrott; Kearney Reynolds,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note BODY: Body-text source reconstruction: FBI interviews with Mrs. Parrott and Kearney Reynolds"
BKR-0009,PART_1,4,4:BODY,PRIMARY_GOVERNMENT,A,1,Federal Bureau of Investigation,FBI record of George H. W. Bush's telephone call identifying James Parrott,,"November 22, 1963",,,,"Baker cites this in support of the surrounding discussion: Baker uses this record to reconstruct Bush's call, stated location, and allegation concerning James Parrott on the day of Kennedy's assassination.",,Federal Bureau of Investigation; George H. W. Bush; James Parrott; John F. Kennedy,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 4, note BODY: Body-text source reconstruction: FBI record of George H. W. Bush's telephone call identifying James Parrott"
BKR-0010,PART_1,6,6:45,PRIMARY_GOVERNMENT,A,1,,CIA document: “Memorandum: MESSRS,Mary Ferrell Foundation; CIA,"January 30, 1968",CIA document; NARA record number 104-10310-10271; CIA memo noting that Devine joined WUBRINY; record number; document identifies; 104-10310-10271,Mary Ferrell Foundation; CIA,,Baker cites this source in chapter 6 in connection with CIA document: “Memorandum: MESSRS; the OCR text does not preserve a reliable body-note marker for a more precise claim mapping.,,BRINY and; CIA; Devine and WUBRINY; J. Devine; June. No; MESSRS. George Bush and Thomas; Mary Ferrell Foundation. That; Thomas J. Devine; Though Devine; WUBRINY; WUBRINY. Indeed,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Original or near-original evidence central to a major allegation in the planned series.,"Ch. 6, note 45: Though Devine is not identified by name in this document, he is in another CIA document: “Memorandum: MESSRS. George Bush and Thomas J. Devine,” January 30, 1968 (NARA record number 104-10310-10271). Available through Mary Ferrell Foundation. That document identifies Devine specifically as working in operation BRINY and claims that he began working in this capacity that June. No documents have surfaced showing anyone else being part of the very small operation WUBRINY. Indeed, all the available evidence indicates that Devine was the main or even only member of WUBRINY, and therefore the person code-named WUBRINY/1, the designated top dog of the operation. If, in fact, Devine and WUBRINY/I were synonymous, then the CIA memo noting that Devine joined WUBRINY in June was in itself an attempt to hide the involvement of Poppy’s business associate in the April meetings with de Mohrenschildt."
