claim_id,country,claim,evidence_level,best_primary_source,best_secondary_source,supporting_sources,contrary_sources,date_range,people,organizations,article_value,risk,notes
P3-001,Global,NSAM 177 assigned AID overt police-assistance leadership while reserving covert aspects,DOCUMENTED FACT,NSAM 177,Series Article 1 dossier,Series canonical facts,None material,1962,John F. Kennedy,AID; CIA; State,FOUNDATIONAL,LOW,"Shows designed adjacency, not identity"
P3-002,Global,CIA maintained liaison with OPS/IPA and used a separate IPS proprietary training route,DOCUMENTED FACT,Article 2 CIA/OPS/IPS records,Series Article 2 dossier,TIC #7; biographical referral records,No completed recruit documented,1960s,Byron Engle,CIA; OPS; IPA; IPS,FOUNDATIONAL,LOW,"Keep liaison, access, and control distinct"
P3-003,South Vietnam,MSU proposed a centralized VBI with internal-security and subversion functions,DOCUMENTED FACT,1956 MSU VBI reorganization report pp. 9-10,Schrader,MSU civil-police reports,Operational implementation uneven,1956,Wesley Fishel; Ralph Turner,MSU; VBI; USOM/ICA,HIGH,LOW,Direct institutional-design evidence
P3-004,South Vietnam,MSU designed a central fingerprint and identity-card system with mandatory cards and lifetime numbers,DOCUMENTED FACT,1956 MSU VBI/fingerprint report pp. 28-43,Schrader,1960 monthly reports,Actual political use not shown,1956-1960,Ralph Turner,MSU; VBI,HIGH,LOW,Capability claim only
P3-005,South Vietnam,"Civil Guard functions joined pacification, border/port/airfield security, and subversion reporting",DOCUMENTED FACT,1957 MSU Civil Police Administration report pp. 18-22,Schrader,1956 organization report,Local practice may differ from design,1957,,Civil Guard; VBI; MSU,HIGH,LOW,Links police to counterinsurgency terrain
P3-006,South Vietnam,MSU coordinated training for 87 Vietnamese police participants by 1960,DOCUMENTED FACT,1960 MSU Police Participant Program pp. 2-11,,1962 final report,Definitions and funding categories vary,1955-1960,Lloyd Musolf; Ralph Turner; Arthur Brandstatter,MSU; ICA/USOM,MEDIUM,LOW,Useful pipeline scale
P3-007,South Vietnam,MSU-built police institutions created intelligence opportunities for CIA,STRONG INFERENCE,MSU VBI/identity/communications records,Schrader; series synthesis,Article 2 access architecture,No CIA query or control record local,1955-1962,Wesley Fishel,MSU; VBI; CIA,HIGH,MEDIUM,"Say opportunity/likely benefit, not database access"
P3-008,South Vietnam,MSU Vietnam Project was a CIA front,SPECULATION,Fishel CIA subject-folder finding-aid entry,Critical accounts,Public denials and unresolved folder,No acquired operational record,1955-1962,Wesley Fishel; John Hannah,MSU; CIA,LOW,HIGH,Do not publish as fact
P3-009,Laos,Air America was indispensable to sustaining CIA operations in Laos,DOCUMENTED FACT,William Leary official CIA history,McCoy,CIA Air Operations in Laos,None material,1955-1974,William Colby,CIA; Air America,HIGH,LOW,Core logistics fact
P3-010,Laos,CIA-backed Hmong forces occupied and depended on opium-producing territory,CORROBORATED ACCOUNT,Official CIA history; contemporary reporting,McCoy,Agrarian and Laos histories,Opium economy predated CIA,1960s-1970s,Vang Pao,CIA; Hmong forces,HIGH,MEDIUM,Relationship documented; economic dependence inferential
P3-011,Laos,CIA knew narcotics activity occurred around its local allies,YES — STRONGLY SUPPORTED,Leary official history; later declassified CIA history,McCoy,1972 CIA IG inquiry,Knowledge of every shipment not shown,1960s-1972,William Colby,CIA,HIGH,LOW,Publication-ready with scope
P3-012,Laos,CIA did little about allied narcotics because the war mission had priority,CORROBORATED ACCOUNT,Leary official history quoting Agency officials,McCoy,Later CIA history,Institutional rationale may vary,1960s,William Colby,CIA,HIGH,LOW,Strong tolerance evidence
P3-013,Laos,Air America aircraft carried opium from producing villages,CORROBORATED ACCOUNT,"McCoy interviews cited pp. 213, 225, 235, notes p. 344",McCoy,Multiple witnesses,1972 CIA IG denial; Leary denies knowing role,1960s-1971,Vang Pao; Ouane Rattikone; Thao Ma,Air America; CIA,HIGH,HIGH,Report as witness accounts; do not state institutional authorization
P3-014,Laos,Air America knowingly and institutionally transported narcotics,CONTRADICTED / DISPUTED,Witness accounts in McCoy,McCoy,Some alleged carriage; official concession of possible unknowing carriage,CIA IG and official history deny knowing support,1960s-1972,,Air America; CIA,HIGH,VERY HIGH,Insufficient without manifests/orders
P3-015,Laos,CIA logistics indirectly facilitated the allied opium economy,STRONG INFERENCE,Official history on logistics and sponsorship,McCoy,Territorial support; air access; purchasing accounts,Preexisting trade; no precise counterfactual,1960s-1973,Vang Pao,CIA; Air America,HIGH,MEDIUM,Use enable/resilience language
P3-016,Laos,Opium income helped sustain local forces useful to CIA,STRONG INFERENCE,CIA relationship records; regional economic record,McCoy,Witness and market accounts,No force budget or CIA financial ledger,1960s-1973,Vang Pao,Hmong forces; CIA,HIGH,MEDIUM,"Local benefit, not CIA receipt"
P3-017,Southeast Asia,War-era heroin reached U.S. servicemen in Vietnam,CORROBORATED ACCOUNT,Contemporary military/drug-control reporting,McCoy,Multiple official histories,Supplier attribution incomplete,1969-1972,,U.S. military,HIGH,LOW,Do not equate troop market with CIA distribution
P3-018,Southeast Asia/United States,CIA intentionally routed heroin into the U.S. civilian market,INSUFFICIENT,No continuous primary chain,McCoy; Scott,Regional heroin did reach U.S.,Official denials; autonomous routes; missing authorization,1960s-1970s,,CIA,HIGH,VERY HIGH,Reject as unsupported
P3-019,Brazil,CIA conducted covert action in Brazilian labor and student organizations before the coup,DOCUMENTED FACT,1963-09-10 PFIAB briefing p. 6,National Security Archive contextual essay,Helms briefing,Memo says no large-scale political operation then,1963,Richard Helms,CIA; PFIAB,HIGH,LOW,Direct high-level admission
P3-020,Brazil,U.S. policy sought anti-Goulart political alignment,DOCUMENTED FACT,1962-1964 White House/NSC/State/CIA records,Motta; historical scholarship,Gordon cables; contingency plan,Brazilian actors had autonomous motives,1962-1964,John F. Kennedy; Lincoln Gordon; João Goulart,White House; State; CIA,HIGH,LOW,Intent to align is explicit
P3-021,Brazil,Gordon requested clandestine arms and petroleum support during coup planning,DOCUMENTED FACT,1964-03-27 Gordon cable,National Security Archive,April 1 White House record,Contingency does not equal delivery,1964,Lincoln Gordon,State; CIA; Defense,HIGH,LOW,Distinguish readiness from execution
