source_number,phrase,link
1,CIA inspector-general inquiry,https://www.intelligence.senate.gov/sites/default/files/94755_I.pdf
2,Agency's later official history of Laos,https://www.cia.gov/resources/csi/static/CIA-Air-Ops-Laos.pdf
3,McCoy's interviews describe,https://archive.org/details/politicsofheroin0000mcco
4,around Mae Salong,https://history.state.gov/historicaldocuments/frus1969-76v20/d173
5,August 1974 Embassy program record,https://foia.state.gov/DOCUMENTS/FOIA_Micro_Oct2024_10/F-1989-03959/DOC_0C09000035/C09000035.pdf
6,Police Academy Review,https://ojp.gov/pdffiles1/Digitization/19349NCJRS.pdf
7,FY1966,https://fraser.stlouisfed.org/title/annual-report-secretary-treasury-state-finances-194/annual-report-secretary-treasury-state-finances-fiscal-year-ended-june-30-1966-5600/fulltext
8,FY1967,https://fraser.stlouisfed.org/title/annual-report-secretary-treasury-state-finances-194/annual-report-secretary-treasury-state-finances-fiscal-year-ended-june-30-1967-5601/fulltext
9,FY1968,https://fraser.stlouisfed.org/title/annual-report-secretary-treasury-state-finances-194/annual-report-secretary-treasury-state-finances-fiscal-year-ended-june-30-1968-5602/fulltext
10,1972 Justice Department report,https://www.ojp.gov/ncjrs/virtual-library/abstracts/federal-law-enforcement-and-criminal-justice-activities-attorney
11,Bill Lair's retrospective account,https://www.cia.gov/resources/csi/static/LairMemoir-May2022-Web.pdf
12,as part of Public Law 93-559,https://www.govinfo.gov/content/pkg/STATUTE-88/pdf/STATUTE-88-Pg1795.pdf
13,Public Law 99-83,https://www.govinfo.gov/content/pkg/STATUTE-99/pdf/STATUTE-99-Pg190.pdf
14,1986 Congressional Record,https://www.govinfo.gov/content/pkg/GPO-CRECB-1986-pt21/pdf/GPO-CRECB-1986-pt21-2-3.pdf
15,archival oral history,https://vva.vietnam.ttu.edu/images.php?from=website&img=%2FOH%2FOH0182%2FOH0182.pdf
16,Compiled airframe histories,https://vva.vietnam.ttu.edu/images.php?img=%2Fimages%2F406%2F4060513001.pdf
17,"Drugs, Law Enforcement and Foreign Policy",https://nsarchive2.gwu.edu/NSAEBB/NSAEBB113/north06.pdf
18,1982 CIA–Justice Department agreement,https://oig.justice.gov/sites/default/files/legacy/special/9712/ch11p1.htm
19,CIA's inspector general later documented,https://irp.fas.org/cia/product/cocaine2/index.html
20,U.S. records document CIA political action,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB118/
21,Brazilian Truth Commission,https://www.gov.br/memoriasreveladas/pt-br/assuntos/comissoes-da-verdade/cnv
22,U.S. reporting addressed police-linked killings,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB478/
