source_number,phrase,link
1,"CIA Air Operations in Laos, 1955–1974",https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-winter-1999-2000/cia-air-operations-in-laos-1955-1974/
2,1956 report on reorganizing the Vietnamese Bureau of Investigation,https://www.vietnam.ttu.edu/virtualarchive/items.php?item=6-20-166D-116-UA17-149_000195
3,fingerprint and identity system,https://www.vietnam.ttu.edu/virtualarchive/items.php?item=6-20-134E-116-UA2-9-5-5_003826
4,The Politics of Heroin in Southeast Asia,https://archive.org/details/politicsofheroin0000mcco
5,"Drugs, Law Enforcement and Foreign Policy",https://nsarchive2.gwu.edu/NSAEBB/NSAEBB113/north06.pdf
6,Volume I: The California Story,https://www.cia.gov/readingroom/docs/REPORT%20OF%20INVESTIGATION%20A%5B16500519%5D.pdf
7,Volume II: The Contra Story,https://www.cia.gov/readingroom/docs/REPORT%20OF%20INVESTIGATION%20A%5B16500518%5D.pdf
8,1963 PFIAB “Board Panel on Covert Action Operations” briefing,https://nsarchive.gwu.edu/sites/default/files/documents/Document05-19630910-206-10001-10016.pdf
9,cable requesting clandestine arms and covert support,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB118/bz02.pdf
10,April 1 White House meeting record,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB118/bz06.pdf
11,1971 State Department report on the “Death Squad”,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB478/docs/doc4.pdf
12,1973 report on widespread arrests and “psychophysical” interrogation,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB478/docs/doc1.pdf
13,Blueprint for Empire,https://thewhiterabbitreport.substack.com/p/blueprint-for-empire-cia-coups-history-1950s-1970s
14,The Phoenix Program,https://thewhiterabbitreport.substack.com/p/phoenix-program-template-for-endless-wars-operation-gladio
15,Operation Gladio,https://thewhiterabbitreport.substack.com/p/operation-gladio-the-hidden-history
16,Operation Susannah,https://thewhiterabbitreport.substack.com/p/operation-susannah-israel-false-flag-lavon-affair
