source_number,source_type,title,date,agency_author,url_or_local_path,page,relevant_entity,relevant_claim,quote_or_summary,evidence_grade,notes
DS-001,official diplomatic record,"Congressional Testimony by Nelson Gross on International Narcotics Control",1972-02-29,Department of State,https://history.state.gov/historicaldocuments/frus1969-76ve01/d220,"pp. 4-15","State; AID; BNDD; Customs; CIA","U.S. country teams coordinated foreign narcotics plans and built enforcement and intelligence capability","Interagency committees included State AID BNDD Customs Defense CIA and USIA; missions prepared more than 50 action plans",A,"Primary official synthesis"
DS-002,official testimony,"Laos narcotics-control origin",1972-02-29,Department of State,https://history.state.gov/historicaldocuments/frus1969-76ve01/d220,"pp. 13-14","Royal Lao Government; BNDD; Customs","The Lao program followed Vientiane-origin heroin seizures at Tan Son Nhut","Mission encouragement produced a Lao program; BNDD intelligence led to a dealer arrest with 10 kilograms",A,"Official account may emphasize program success"
DS-003,official testimony,"U-Tapao forged-document shipment",1972-02-29,Department of State,https://history.state.gov/historicaldocuments/frus1969-76ve01/d220,p.12,"Andrew Price; William Henry Jackson; Jerald Ganius","A 17-pound heroin shipment moved via U-Tapao using forged military documents","Arrests followed months of Thai police and BNDD investigation",A,"Underlying case file not acquired"
DS-004,intelligence analysis,"Golden Triangle narcotics routes",1971,Central Intelligence Agency,https://www.cia.gov/readingroom/docs/CIA-RDP80-01601R000300170027-5.pdf,various,"Bangkok; Hong Kong; Vientiane; Saigon","CIA analysis mapped regional processing and onward routes","Opium and morphine base moved toward processing and international markets",A,"Analytical estimate rather than shipment case"
DS-005,book/investigative secondary,"The Politics of Heroin in Southeast Asia",1972,Alfred W. McCoy,"series_projects/usaid-office-of-public-safety/articles/part-03-the-laboratory-countries/sources/52_Alfred_McCoy___The_politics_of_heroin_in_Southeast_Asia.pdf","PDF pp. 44-45","Santo Trafficante Jr.","Trafficante was an organized-crime narcotics financier and traveled to Asia in 1968","McCoy frames the trip as a search for alternate supply",E,"Travel rests partly on Senate record; purpose is inference"
DS-006,official investigation,"Alleged Assassination Plots Involving Foreign Leaders",1975,Church Committee,https://www.intelligence.senate.gov/sites/default/files/94465.pdf,"Cuba section pp. 71-133","Trafficante; Roselli; Giancana; Maheu; CIA","CIA intermediaries worked with Trafficante in Castro assassination plotting","The committee documented meetings and poison-plot activity",A,"Proves CIA relationship unrelated to heroin"
DS-007,FBI report,"Report re Santo Trafficante Jr. MM 92-88",1969-02-26,Federal Bureau of Investigation,https://www.archives.gov/files/research/jfk/releases/2018/docid-32294431.pdf,"41-page file","Trafficante; Dominick Furci; Frank Furci","Federal investigation reportedly found no evidence of a narcotics conspiracy behind the 1968 trip","Original file is indexed as NARA record 124-10213-10207",A,"Human review required; current finding traced through Marshall"
DS-008,scholarly secondary,"Dirty Wars: French and American Piaster Profiteering in Indochina 1945-75",2014,Jonathan Marshall,https://apjjf.org/2014/12/32/jonathan-marshall/4160/article,fn.96,"Trafficante; Furci","FBI investigation weakens the narcotics-purpose interpretation of Trafficante's trip","Marshall cites FBI and Senate files and says officials found no supporting evidence",E,"Best located synthesis of primary counterevidence"
DS-009,participant account,"Corsican networks in Saigon and Vientiane",1971 interviews,"Lucien Conein via McCoy","series_projects/usaid-office-of-public-safety/articles/part-03-the-laboratory-countries/sources/52_Alfred_McCoy___The_politics_of_heroin_in_Southeast_Asia.pdf","PDF pp. 175-176","Conein; Corsican syndicates","Conein described Vientiane-Saigon-Marseille family and shipping links","Morphine base allegedly moved through Corsican contacts and French merchant vessels",C,"Underlying interview notes not acquired"
DS-010,participant account,"Lansdale Corsican truce",1971 interview,"Edward Lansdale via McCoy","series_projects/usaid-office-of-public-safety/articles/part-03-the-laboratory-countries/sources/52_Alfred_McCoy___The_politics_of_heroin_in_Southeast_Asia.pdf",PDF p.175,"Lansdale; Corsican leaders","Lansdale said he made a truce and was not conducting criminal investigations","He later knew of narcotics activity and took no action because it was outside his mission",C,"Supports mission-priority tolerance; not a trafficking partnership"
