source_number,phrase,link
1,Government Accountability Office's 1989 audit,https://www.gao.gov/products/nsiad-89-152
2,"Guatemala collection contains more than 5,000 documents",https://www.cia.gov/readingroom/collection/guatemala
3,National Archives' Watergate files,https://www.archives.gov/research/investigations/watergate
4,NSAM 177,https://history.state.gov/historicaldocuments/frus1961-63v09/d150
5,statutory text,https://www.govinfo.gov/content/pkg/STATUTE-88/pdf/STATUTE-88-Pg1795.pdf
6,CIA memorandum describing TWO-FOLD,https://www.cia.gov/readingroom/docs/DOC_0001451843.pdf
7,congressional Iran-Contra report,https://www.govinfo.gov/content/pkg/CHRG-105hhrg45405/pdf/CHRG-105hhrg45405.pdf
8,GAO's follow-up audit,https://www.gao.gov/products/nsiad-91-7
9,Parliamentary investigations,https://www.senate.be/lexdocs/S0523/S05231297.pdf
10,CIA records identify SAT as an Agency proprietary,https://www.cia.gov/readingroom/docs/196302.pdf
11,Kerry Committee,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB113/north06.pdf
12,later CIA Inspector General investigation,https://www.cia.gov/readingroom/docs/REPORT%20OF%20INVESTIGATION%20A%5B16500519%5D.pdf
13,“Spook Air.”,https://freepress.org/article/spook-air
14,Drop Site investigation into the Iran-Contra planes and Wexner's Columbus network,https://www.dropsitenews.com/p/jeffrey-epstein-iran-contra-planes-leslie-wexner-pottinger-leese-arms-weapons-smuggling
