claim_id,article_id,claim_text,claim_classification,claim_type,article_section,article_excerpt,source_number,source_title,source_url,source_file,source_excerpt,support_type,source_strength,spoiler_scope,teaser_safe,review_required,notes
CLM-USAIDCIA-P01-001,USAID-CIA-P01,"NSAM 132 was dated February 19, 1962.",DOCUMENTED_FACT,DATE,THE PROGRAM THAT DID NOT FIT DEVELOPMENT,"President John F. Kennedy addressed that tension directly in NSAM 132, signed February 19, 1962. His memorandum went to Fowler Hamilton, the administrator of AID. Kennedy said police assistance was a crucial element of the response to Communist “indirect aggression,” even though it could look marginal under criteria focused on sustained economic growth.",2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72,shared_sources/source_gap_hunt/National Security Action Memorandum No. 132.extracted.txt,"Washington, February 19, 1962. TO The Honorable Fowler Hamilton The Administrator Agency for International Development SUBJECT",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-002,USAID-CIA-P01,Kennedy described police assistance as crucial to countering Communist indirect aggression.,DOCUMENTED_FACT,EXECUTIVE_DECISION,THE PROGRAM THAT DID NOT FIT DEVELOPMENT,"President John F. Kennedy addressed that tension directly in NSAM 132, signed February 19, 1962. His memorandum went to Fowler Hamilton, the administrator of AID. Kennedy said police assistance was a crucial element of the response to Communist “indirect aggression,” even though it could look marginal under criteria focused on sustained economic growth.",2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72,shared_sources/source_gap_hunt/National Security Action Memorandum No. 132.extracted.txt,"Police assistance programs, including those under the aegis of your agency, are also a crucial element in our response to this challenge",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-003,USAID-CIA-P01,Kennedy said police programs could appear marginal under economic-development criteria.,DOCUMENTED_FACT,CONTRADICTION,THE PROGRAM THAT DID NOT FIT DEVELOPMENT,"President John F. Kennedy addressed that tension directly in NSAM 132, signed February 19, 1962. His memorandum went to Fowler Hamilton, the administrator of AID. Kennedy said police assistance was a crucial element of the response to Communist “indirect aggression,” even though it could look marginal under criteria focused on sustained economic growth.",2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72,shared_sources/source_gap_hunt/National Security Action Memorandum No. 132.extracted.txt,"I recognize that such programs may seem marginal in terms of focusing our energies on those key sectors which will contribute most to sustained economic growth. But I regard them as justified on a different though related basis, i.e., that of contributing to internal security and resisting Communist-supported insurgency",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-004,USAID-CIA-P01,Kennedy warned that police programs could be neglected because they were a small part of AID.,DOCUMENTED_FACT,AGENCY_ROLE,THE PROGRAM THAT DID NOT FIT DEVELOPMENT,"He also acknowledged a bureaucratic danger. Police programs were a relatively small part of the aid agency, he wrote, and could be neglected. He asked Hamilton to consider giving them greater autonomy and ordered AID to recommend new emphases through the Special Group (Counter-Insurgency).",2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72,shared_sources/source_gap_hunt/National Security Action Memorandum No. 132.extracted.txt,"I am further aware that police programs, as a relatively minor facet of the functions of the aid agency, may have tended to receive little emphasis as a result. Therefore, I would like you to consider various ways and means of giving the police program greater autonomy within AID, if this seems necessary in order to protect it from neglect",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-005,USAID-CIA-P01,Kennedy asked AID to review support for local police forces used for internal security and counterinsurgency.,DOCUMENTED_FACT,POLICY_TRANSITION,THE PROGRAM THAT DID NOT FIT DEVELOPMENT,,2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72,shared_sources/source_gap_hunt/National Security Action Memorandum No. 132.extracted.txt,"In sum, I should like AID to review carefully its role in the support of local police forces for internal security and counter- insurgency purposes, and to recommend to me through the Special Group (Counter-Insurgency) what new or renewed emphases are desirable",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-006,USAID-CIA-P01,"NSAM 162 was dated June 19, 1962.",DOCUMENTED_FACT,DATE,THE ARCHITECTURE TAKES SHAPE,"Four months later, NSAM 162 widened the frame. Its subject was the development of American and indigenous police, paramilitary and military resources. Police capacity was being discussed as one component of a larger overseas internal-defense system.",3,NSAM 162,https://history.state.gov/historicaldocuments/frus1961-63v08/d91,shared_sources/source_gap_hunt/National Security Action Memorandum No. 162.extracted.txt,"Washington, June 19, 1962. TO",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-007,USAID-CIA-P01,"NSAM 162 called for country plans combining military, police, intelligence and psychological measures.",DOCUMENTED_FACT,INSTITUTIONAL_CHANGE,THE ARCHITECTURE TAKES SHAPE,"Four months later, NSAM 162 widened the frame. Its subject was the development of American and indigenous police, paramilitary and military resources. Police capacity was being discussed as one component of a larger overseas internal-defense system.",3,NSAM 162,https://history.state.gov/historicaldocuments/frus1961-63v08/d91,shared_sources/source_gap_hunt/National Security Action Memorandum No. 162.extracted.txt,"These plans will include the military, police, intelligence and psychological measures comprising a well rounded internal defense plan and will be consistent with the military, economic, political and social measures constituting the overall country plan",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-008,USAID-CIA-P01,NSAM 162 directed CIA and AID to maintain personnel with paramilitary skills for crisis areas.,DOCUMENTED_FACT,AGENCY_ASSIGNMENT,THE ORDER WITH THE EXCEPTION,"CIA was not absent from the architecture. The director of Central Intelligence received NSAM 177 alongside State, Defense, Justice and AID. Yet receiving the memorandum is not the same as owning every program it created. To understand CIA's operational role, we need the records that describe actual liaison, training and recruitment—not a slogan imposed on a document.",3,NSAM 162,https://history.state.gov/historicaldocuments/frus1961-63v08/d91,shared_sources/source_gap_hunt/National Security Action Memorandum No. 162.extracted.txt,CIA and AID will take action to insure that adequate qualified personnel with paramilitary skills are available. Periodic reports of progress to achieve this objective will be submitted to the Special Group (Counterinsurgency) by CIA and AID,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-009,USAID-CIA-P01,NSAM 162 directed CIA to expand training and support for indigenous intelligence organizations.,DOCUMENTED_FACT,AGENCY_ASSIGNMENT,THE ORDER WITH THE EXCEPTION,"CIA was not absent from the architecture. The director of Central Intelligence received NSAM 177 alongside State, Defense, Justice and AID. Yet receiving the memorandum is not the same as owning every program it created. To understand CIA's operational role, we need the records that describe actual liaison, training and recruitment—not a slogan imposed on a document.",3,NSAM 162,https://history.state.gov/historicaldocuments/frus1961-63v08/d91,shared_sources/source_gap_hunt/National Security Action Memorandum No. 162.extracted.txt,"Therefore, the CIA will expand its present training and support efforts to achieve needed improvements in indigenous intelligence organizations and that other U.S. agencies contribute to this CIA coordinated program",DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
CLM-USAIDCIA-P01-010,USAID-CIA-P01,"The July 20, 1962 committee called police programs a neglected part of countering subversion and insurgency.",DOCUMENTED_FACT,COMMITTEE_RECOMMENDATION,THE ARCHITECTURE TAKES SHAPE,"Then, on July 20, 1962, an interagency committee chaired through the State Department delivered its recommendations. The published Foreign Relations memorandum is short, but the Kennedy Library folder preserves the fuller report and the implementation papers that followed.",4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,the U.S. police assistance programs form a very important but neglected part of our intensified effort to help emerging nations counter subversion and insurgency,DIRECT,PRIMARY_OR_OFFICIAL_RECORD,CURRENT_PART,NO,NO,Exact excerpt copied from local extracted source.
